,index,flooded-other,guessDepth,AuthorEmail,structure_damage,float_number,geo_locality,beach_damage,photo_time,marinas_comments,structures_comments,AuthorName,weather_calc_24hr_precip,buildings_street,geo_neighborhood,TideDataObserved,storm_damage,whatFlooded,weather_windBearing,post_comment,buildings_damage,cause-other,URL,geo_administrative_area_level_1,weather_windSpeed,road_damage,road_other,MyCoastAI-description,report_icon,from_device,response_other,anonymous,road_comments,ID #,images,location_latitude,buildings_comments,guessCause,geo_route,report_created,reportType,hazmat_damage damage-cat,alternate-location-name,boat_number,weather_temperature,photo_date,location_longitude,TideDataPredicted,beach_comments,marinas_damage,geo_administrative_area_level_2,hazmat_comments,brightness
226,226,,0,,,,High Falls,,16:48,,,,2.514,,Stone Dock Rd,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8518951&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,,Lawns/vegetation,259.0,10 inches where there is normally grass around tree tubes walked through in muck boots and it overtopped them,,,https://mycoast.org/reports/151971,NY,10.6,,,,highwater.svg,iOS 17.1.2,,,,151971,https://report-images.nyc3.digitaloceanspaces.com/2024/01/18085650/17652d48a3918a77fdd7502a4df98baeae2f14f9.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/01/18085647/7126b6a2edcddbbe87d3f5cbf8199e40a80809a9.jpg,41.81898,,Overland flooding (Nearby waterbody),Stone Dock Rd,2024-01-18T13:56:45Z,Flood Watch,,Stone Dock Golf Course,,46.3,2023-12-18,-74.1519861667,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8518951&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Ulster County,,61.62
227,227,,3,,,,Ulster Park,,16:46,,,,2.571,,River Rd,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8518951&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,,Roads/streets,256.0,River Rd flooded at popular striped bass fishing location close to high tide.,,,https://mycoast.org/reports/144187,NY,13.1,,,,highwater.svg,iOS 17.1.2,,,,144187,https://report-images.nyc3.digitaloceanspaces.com/2023/12/19092900/e3a892dc681d0eff6a12d90722086049650d65f7.jpg,41.8780583333,,Overland flooding (Nearby waterbody),River Rd,2023-12-19T14:28:58Z,Flood Watch,,"River Road, Ulster Park, NY",,47.2,2023-12-18,-73.9552166667,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8518951&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Ulster County,,85.38
228,228,,,,No Impacts,0.0,Hyde Park,Accessible,16:43,,,,2.58,,Roosevelt Rd,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8518951&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,No Impacts,,260.0,,No Impacts,,https://mycoast.org/reports/144001,NY,10.3,No Impacts,,,nodamage.svg,iOS 17.1.2,,Yes,,144001,https://report-images.nyc3.digitaloceanspaces.com/2023/12/18165951/f70720d506153341790c06df4196a589d55fe448.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/12/18165948/9dfa8cc186361c9ed2d36e151edac3bcbe9d3232.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/12/18165946/ebf5aa8afabe31b0a341d6f03b8c5259f8c6d2b2.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/12/18165943/beed2f872b49ab44ecb652bb25eaae1acf84d4ec.jpg,41.7735601153,,,Roosevelt Rd,2023-12-18T21:59:40Z,Storm,None,,0.0,47.9,2023-12-18,-73.8957091817,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8518951&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,No Impacts,Dutchess County,,87.53
229,229,,,,No Impacts,0.0,Hyde Park,Accessible,16:41,,,,2.58,,Roosevelt Rd,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8518951&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,No Impacts,,260.0,,No Impacts,,https://mycoast.org/reports/143995,NY,10.3,No Impacts,,,nodamage.svg,iOS 17.1.2,,Yes,,143995,https://report-images.nyc3.digitaloceanspaces.com/2023/12/18165843/98929157eb1665b6d7bd90f5e98ab6cb6c5ab9f8.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/12/18165840/6a60c2f29aef1f7f4d43131cc09165124636639e.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/12/18165837/5adfcb0e2b21261498a557a8069a9772b1f00d96.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/12/18165834/79257ef4b78e70eebbc7ae45c4796e9654095812.jpg,41.7735601153,,,Roosevelt Rd,2023-12-18T21:58:31Z,Storm,None,,0.0,47.9,2023-12-18,-73.8957091817,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8518951&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,No Impacts,Dutchess County,,76.76
230,230,,,,No Impacts,0.0,Hyde Park,Accessible,16:37,,,,2.58,,Roosevelt Rd,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8518951&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,No Impacts,,260.0,,No Impacts,,https://mycoast.org/reports/144007,NY,10.3,No Impacts,,,nodamage.svg,iOS 17.1.2,,Yes,,144007,https://report-images.nyc3.digitaloceanspaces.com/2023/12/18170102/651f96ad020f49a7a49d16b886e81ca0a8e2bc2d.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/12/18170058/9a9a027d9a4fb899a512e113fd657275ac50829d.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/12/18170055/d781d7a08e6aa93772d474696d47c7b9433a0415.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/12/18170052/428f334eecacb86a555549a5cc087daea82049c2.jpg,41.7735530729,,,Roosevelt Rd,2023-12-18T22:00:50Z,Storm,None,,0.0,47.9,2023-12-18,-73.8957227412,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8518951&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,No Impacts,Dutchess County,,85.69
231,231,,,,No Impacts,0.0,Hyde Park,Accessible,16:36,,,,2.58,,Roosevelt Rd,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8518951&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,No Impacts,,260.0,,No Impacts,,https://mycoast.org/reports/143983,NY,10.3,No Impacts,,,nodamage.svg,iOS 17.1.2,,Yes,,143983,https://report-images.nyc3.digitaloceanspaces.com/2023/12/18165623/591d2a579953f129aa43204af3a0d8b0ca01d5e3.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/12/18165620/5c193b2bd8595c5739f2aa964ffa736bacfa7ed9.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/12/18165617/2197091b96ece7fcdf3710a948a6f95ea622d1b7.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/12/18165614/281e54e81c87099eea52b502c551bdf7a630fecc.jpg,41.7735978077,,,Roosevelt Rd,2023-12-18T21:56:11Z,Storm,None,,0.0,47.9,2023-12-18,-73.8957123087,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8518951&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,No Impacts,Dutchess County,,93.91
232,232,,0,,,,Flanders,,16:30,,,,0.993,,Flanders Rd,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8512735&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,,,261.0,,,,https://mycoast.org/reports/144500,NY,18.6,,,,highwater.svg,Android 14,,,,144500,https://report-images.nyc3.digitaloceanspaces.com/2023/12/19150942/e83881721beac27d4392b91ff14f0d6aa1d955ca.jpg,40.9033590924,,,Flanders Rd,2023-12-19T20:09:39Z,Flood Watch,,,,48.8,2023-12-18,-72.6170670567,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8512735&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Suffolk County,,93.74
233,233,,,,,,Kingston,,16:18,,,,2.608,,E Strand St,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8518962&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,,Roads/streets,267.0,,,,https://mycoast.org/reports/144115,NY,11.9,,,,highwater.svg,,,No,,144115,https://report-images.nyc3.digitaloceanspaces.com/2023/12/18213506/cde5451722ff08ca083f53c045c96f46-scaled.jpg,41.91886818477549,,Overland flooding (Nearby waterbody),E Strand St,2023-12-19T02:35:08Z,Flood Watch,,,,47.2,2023-12-18,-73.98126139153375,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8518962&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Ulster County,,146.67
234,234,,,,,,Kingston,,16:12,,,,2.608,,E Strand St,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8518962&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,,Sidewalks,267.0,,,,https://mycoast.org/reports/144112,NY,11.9,,,,highwater.svg,,,No,,144112,https://report-images.nyc3.digitaloceanspaces.com/2023/12/18213245/7cfce694db344dbdf62bbc1861e1d7cd-scaled.jpg,41.91821106827456,,Overland flooding (Nearby waterbody),E Strand St,2023-12-19T02:32:47Z,Flood Watch,,,,47.2,2023-12-18,-73.98162530555726,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8518962&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Ulster County,,139.65
235,235,,,,,,Kingston,,16:10,,,,2.609,,Rondout Landing,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8518962&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,,Sidewalks,267.0,,,,https://mycoast.org/reports/144109,NY,11.9,,,,highwater.svg,,,No,,144109,https://report-images.nyc3.digitaloceanspaces.com/2023/12/18213133/0ec292e19e092f412bca31f163e10a77-scaled.jpg,41.91766523390533,,Overland flooding (Nearby waterbody),Rondout Landing,2023-12-19T02:31:35Z,Flood Watch,,,,47.2,2023-12-18,-73.98292949801551,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8518962&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Ulster County,,116.73
236,236,,,,,,Rosendale,,16:07,,,,2.584,,NY-213,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8518951&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,,Structures,268.0,"Rondout Creek flooding the playing fields in Rosendale, NY",,,https://mycoast.org/reports/144242,NY,11.6,,,,highwater.svg,,,No,,144242,https://report-images.nyc3.digitaloceanspaces.com/2023/12/19102135/32e5b5e0b9c5fc3b4957be655a98e4de-scaled.jpg,41.8390789126487,,Rainfall (Water pooling from direct rainfall),NY-213,2023-12-19T15:21:38Z,Flood Watch,,"Rosendale, NY",,46.9,2023-12-18,-74.10176604360619,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8518951&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Ulster County,,100.26
237,237,,0,,,,Hampton Bays,,16:03,,,,1.142,,Lynncliff Rd,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8512451&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,,,272.0,,,,https://mycoast.org/reports/144497,NY,27.5,,,,highwater.svg,Android 14,,,,144497,https://report-images.nyc3.digitaloceanspaces.com/2023/12/19150833/6e3f6e3ba107c7a63322279b473c17c009547084.jpg,40.8687975047,,,Lynncliff Rd,2023-12-19T20:08:31Z,Flood Watch,,,,50.1,2023-12-18,-72.5139175826,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8512451&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Suffolk County,,103.97
238,238,,,,,,Westhampton Beach,,15:59,,,,1.067,,Dune Rd,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8512769&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,,Roads/streets,271.0,,,,https://mycoast.org/reports/144688,NY,28.5,,,,highwater.svg,,,No,,144688,https://report-images.nyc3.digitaloceanspaces.com/2023/12/20112747/9c840fc1fbdfdddbe02def07b7bf3ebb-scaled.jpg,40.811023680443824,,Overland flooding (Nearby waterbody),Dune Rd,2023-12-20T16:27:49Z,Flood Watch,,Dune Road Quogue Beach Club,,49.9,2023-12-18,-72.58950645678739,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8512769&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Suffolk County,,111.37
239,239,,,,,,Kingston,,15:56,,,,2.582,,NY-213,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8518951&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,,Lawns/vegetation,267.0,"Former D&H canal pathway along Main St., Rosendale NY with Cement mine opening in background",,,https://mycoast.org/reports/144245,NY,11.7,,,,highwater.svg,,,No,,144245,https://report-images.nyc3.digitaloceanspaces.com/2023/12/19102505/a7fca23ca168d41f160a26c760e82dfa-scaled.jpg,41.84350996903626,,Rainfall (Water pooling from direct rainfall),NY-213,2023-12-19T15:36:26Z,Flood Watch,,"Rosendale, NY",,47.0,2023-12-18,-74.0845226584877,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8518951&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Ulster County,,102.16
240,240,,12,,,,Margaretville,,15:49,,,,4.293,,Fox Meadow Ln,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8518962&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,,Lawns/vegetation,290.0,,,,https://mycoast.org/reports/144893,NY,0.0,,,,highwater.svg,iOS 17.1.2,,,,144893,https://report-images.nyc3.digitaloceanspaces.com/2023/12/22113400/2c697001ae5ffdb094b1b1d54facc9fa4a48d819.jpg,42.1982986163,,Rainfall (Water pooling from direct rainfall),Fox Meadow Ln,2023-12-22T16:33:58Z,Flood Watch,,Roxbury,,45.8,2023-12-18,-74.6074261927,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8518962&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Delaware County,,108.7
241,241,,8,,,,Roxbury,,15:47,,,,2.342,,,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8518962&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,,Lawns/vegetation,260.0,,,,https://mycoast.org/reports/145065,NY,7.1,,,,highwater.svg,iOS 17.1.2,,,,145065,https://report-images.nyc3.digitaloceanspaces.com/2023/12/27101739/54117ab565e9cf9d6071de6a37f50edfb2a77a13.jpg,42.313396986,,Overland flooding (Nearby waterbody),,2023-12-27T15:17:37Z,Flood Watch,,"Kirkside Park, Roxbury, NY",,44.8,2023-12-18,-74.5609770015,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8518962&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Delaware County,,102.41
242,242,,,,,,Kingston,,15:39,,,,2.607,,Amy Ct,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8518962&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,,Roads/streets,267.0,,,,https://mycoast.org/reports/144253,NY,11.8,,,,highwater.svg,,,Yes,,144253,https://report-images.nyc3.digitaloceanspaces.com/2023/12/19102946/6594c96656f786795086922964d90f69-scaled.jpg,41.91591502672535,,Rainfall (Water pooling from direct rainfall),Amy Ct,2023-12-19T15:29:47Z,Flood Watch,,"Kingston, NY",,47.1,2023-12-18,-74.02954270336839,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8518962&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Ulster County,,120.37
243,243,,,,No Impacts,0.0,Cairo,Accessible,15:31,,,,2.376,,Frank Hitchcock Rd,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8518962&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,No Impacts,,271.0,,No Impacts,,https://mycoast.org/reports/144882,NY,10.4,No Impacts,,,nodamage.svg,iOS 16.6.1,,,,144882,https://report-images.nyc3.digitaloceanspaces.com/2023/12/21205048/7a03ecce4fed852ec06e8301f6c0ad19d00b544c.jpg,42.3206793359,,,Frank Hitchcock Rd,2023-12-22T01:50:47Z,Storm,None,Catskill Creek Cairo-Leeds-Catskill,0.0,44.0,2023-12-18,-74.0122875836,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8518962&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,No Impacts,Greene County,,147.02
244,244,,,,,,Quogue,,15:11,,,,1.038,,Niamogue Ln,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8512769&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,,Roads/streets,280.0,,,,https://mycoast.org/reports/144680,NY,23.9,,,,highwater.svg,,,No,,144680,https://report-images.nyc3.digitaloceanspaces.com/2023/12/20112552/059c2057158f7280b1ebc64eb74bbe373-scaled.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/12/20112545/059c2057158f7280b1ebc64eb74bbe372-scaled.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/12/20112537/059c2057158f7280b1ebc64eb74bbe371-scaled.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/12/20112528/059c2057158f7280b1ebc64eb74bbe37-scaled.jpg,40.8174258861962,,Overland flooding (Nearby waterbody),Niamogue Ln,2023-12-20T16:25:54Z,Flood Watch,,"Penniman Creek, Quogue",,53.1,2023-12-18,-72.58881209163833,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8512769&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Suffolk County,,127.23
245,245,,0,,,,Saugerties,,14:28,,,,2.324,,S Partition St,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8518962&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,,Lawns/vegetation,285.0,,,,https://mycoast.org/reports/144151,NY,13.8,,,,highwater.svg,iOS 16.3.1,,,,144151,https://report-images.nyc3.digitaloceanspaces.com/2023/12/19075544/f0d0aa5ec36ed4a331ced3cb4eb77e6d83c8049e.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/12/19075541/451d60d5dc2b016a86eece20af7c2abda6668263.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/12/19075538/2cd1807aacc21f503fa65142fbdaaee618f7a6b8.jpg,42.0710944548,,Overland flooding (Nearby waterbody),S Partition St,2023-12-19T12:55:36Z,Flood Watch,,"Saugerties Village Beach, Esopus River",,47.0,2023-12-18,-73.9520803675,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8518962&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Ulster County,,144.15
246,246,,,,No Impacts,0.0,Staatsburg,Accessible,14:27,,,,2.568,,Albany Post Rd,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8518951&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,No Impacts,,292.0,,No Impacts,,https://mycoast.org/reports/143776,NY,11.7,No Impacts,,,nodamage.svg,Android 10,,,,143776,,41.8412546,,,Albany Post Rd,2023-12-18T19:29:10Z,Storm,None,Staat a burg road,0.0,48.6,2023-12-18,-73.930244,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8518951&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,No Impacts,Dutchess County,,
247,247,,,,No Impacts,0.0,Hyde Park,Accessible,14:22,,,,2.57,,Blair Rd,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8518951&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,No Impacts,,292.0,,No Impacts,,https://mycoast.org/reports/143758,NY,11.7,No Impacts,,,nodamage.svg,Android 10,,,,143758,,41.8430844,,,Blair Rd,2023-12-18T19:23:19Z,Storm,None,N Cross Dev,0.0,48.6,2023-12-18,-73.9186885,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8518951&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,No Impacts,Dutchess County,,
248,248,,12,,,,Amityville,,14:22,,,,1.037,,S Bayview Ave,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8516155&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,,Roads/streets,309.0,,,,https://mycoast.org/reports/143871,NY,18.9,,,,highwater.svg,iOS 17.1.2,,Yes,,143871,https://report-images.nyc3.digitaloceanspaces.com/2023/12/18153759/61ae5f696c9922fb83029a929e573ee75d7cd7c0.jpg,40.661595759,,Overland flooding (Nearby waterbody),S Bayview Ave,2023-12-18T20:37:58Z,Flood Watch,,Amityville,,51.0,2023-12-18,-73.4085387519,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8516155&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Suffolk County,,123.94
249,249,,10,,,,Marcellus,,14:19,,,,1.687,,Martisco Rd,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8518995&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,,Lawns/vegetation,272.0,,,,https://mycoast.org/reports/143752,NY,14.1,,,,highwater.svg,Android 14,,,,143752,https://report-images.nyc3.digitaloceanspaces.com/2023/12/18142227/fe1dfcebedc335aa83da23009731c271415ce9b3.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/12/18142223/1335b33600dbbfd54b3380e1251c7603a236edae.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/12/18142220/8ba065a4841f51dfddd5642e9f204c1aaeb072fb.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/12/18142216/80389868cf6370a79984a713738957415e70f765.jpg,43.0159719,,Overland flooding (Nearby waterbody),Martisco Rd,2023-12-18T19:22:14Z,Flood Watch,,Nine Mile Creek,,43.6,2023-12-18,-76.3386234,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8518995&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Onondaga County,,123.55
250,250,,,,No Impacts,0.0,Staatsburg,Accessible,14:12,,,,2.569,,Enderkill Dr,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8518951&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,No Impacts,,291.0,,No Impacts,,https://mycoast.org/reports/143750,NY,10.2,No Impacts,,,nodamage.svg,Android 10,,,,143750,,41.8406113,,,Enderkill Dr,2023-12-18T19:16:19Z,Storm,None,Enderkill Staatsburg,0.0,49.4,2023-12-18,-73.9282445,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8518951&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,No Impacts,Dutchess County,,
251,251,,,,No Impacts,0.0,Staatsburg,Accessible,14:09,,,,2.569,,Enderkill Dr,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8518951&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,No Impacts,,300.0,,No Impacts,,https://mycoast.org/reports/143748,NY,15.0,No Impacts,,,nodamage.svg,Android 10,,,,143748,,41.8400908,,,Enderkill Dr,2023-12-18T19:11:38Z,Storm,None,Lake Dr Staatsburg (Enderkill stream),0.0,51.0,2023-12-18,-73.928621,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8518951&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,No Impacts,Dutchess County,,
252,252,,,,,,Hampton Bays,,14:02,,,,1.029,,W Tiana Rd,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8512451&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,,Parking lots,226.0,,,,https://mycoast.org/reports/144673,NY,13.6,,,,highwater.svg,,,No,,144673,https://report-images.nyc3.digitaloceanspaces.com/2023/12/20111840/1a0364f03e952691d9a9307cbad3c9761-scaled.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/12/20111830/1a0364f03e952691d9a9307cbad3c976-scaled.jpg,40.8617855072232,,Overland flooding (Nearby waterbody),W Tiana Rd,2023-12-20T16:18:41Z,Flood Watch,,"Water's Edge Cottages, W. Tiana Rd, Hampton Bays",,57.4,2023-12-18,-72.54303570005294,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8512451&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Suffolk County,,112.67
253,253,,,,No Impacts,0.0,Staatsburg,Accessible,14:01,,,,2.563,,Thompson Dr,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8518951&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,No Impacts,,300.0,,No Impacts,,https://mycoast.org/reports/143738,NY,15.0,No Impacts,,,nodamage.svg,Android 10,,,,143738,,41.8391856,,,Thompson Dr,2023-12-18T19:03:31Z,Storm,None,Inderkill,0.0,51.0,2023-12-18,-73.9284664,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8518951&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,No Impacts,Dutchess County,,
254,254,,,,,,East Quogue,,13:55,,,,1.024,,Willow shade Ln,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8512451&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=6,,Roads/streets,225.0,,,,https://mycoast.org/reports/144670,NY,13.5,,,,highwater.svg,,,No,,144670,https://report-images.nyc3.digitaloceanspaces.com/2023/12/20111024/6a612964d9a224ae5364ba2989f746e7-scaled.jpg,40.85181158563466,,Overland flooding (Nearby waterbody),Willow shade Ln,2023-12-20T16:10:26Z,Flood Watch,,,,57.5,2023-12-18,-72.54917681002338,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8512451&units=standard&bdate=20231217&edate=20231219&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Suffolk County,,129.73
